Schluessel;Objektname;Lokalbezeichnung;Gemeinde;Postleitzahl;x-Koordinate;y-Koordinate;Parz Nr;Fassungseigentuemer;OK Terrain;Schachtueberstand;Ordnungs-Nr;Lagegenauigkeit;Verwendungszweck;Verwendungsart;Fassungsart;Fassungszustand;Fassungsabdeckung;Schachttyp;Datenherkunft;Kontaktperson;Bemerkungen Objektdaten;Foto;Foto-Negativ-Nr 1;Foto-Negativ-Nr 2;Foto-Negativ-Nr 3;Fassung;Schutzzone;Anzahl Zuleitungen;Schloss;Aufgenommen durch;Erhebungsdatum;Alte Ordnungs-Nr;Feldbegehung;Objektbereinigung;WVA-Nutzung;WVA-Nutzung ergaenzen;WVA-Nutzung streichen;WVA-Nutzung Lage neu
201;Stalden-Quelle unten;Stalden;Bilten;8865;721170;221910;1;Flurgenossenschaft;453.8900146;0;72122101;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube;Archiv AFU Glarus;Hans Müller, Schönhof, Bilten;;;C3;C4;;;erforderlich;2;Ja;M. Simmler;25.03.1998;6;23.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
202;Stallquelle;Lediwald;Bilten;8865;717885;224410;23;K. Staub;480;0;71722401;aus Plan gelesen;Brauchwasser;Stall;ab Fels;sanierungsbedürftig;keine vorh.;kein Schacht;Archiv AFU Glarus;Kaspar Staub, Ussbühl, Bilten;;;B29;B30;;;keine vorh.;;nein;M. Simmler;25.03.1998;7;23.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
203;Stallquelle;Ussbüel;Bilten;8865;718080;224420;31;W. Mettler;440;0;71822401;aus Plan gelesen;Brauchwasser;Stall;aufstossend ?;sanierungsbedürftig;Blech-Deckel;Brunnenstube;Archiv AFU Glarus;Waldburga Mettler, alte Landstrasse, Bilten;versiegt zeitweise;;B27;B28;;;keine vorh.;;nein;M. Simmler;25.03.1998;8;23.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
204;Stallquelle/Enteribrunnen;Ussbüel;Bilten;8865;717985;224740;37;K. Blum;420;30;71722402;aus Plan gelesen;Brauchwasser;Stall (Milchkammer);Sicker-/Zuleitung;sanierungsbedürftig;Holz/Plastik;Brunnenstube;Archiv AFU Glarus;Sepp Hofstetter-Blum, Doggen, Benken SG;Tafel kein Trinkwasser am Brunnen;;B25;B26;;;keine vorh.;1;nein;M. Simmler;25.03.1998;9;23.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
205;St. Katharinaquelle;Allmeind;Bilten;8865;718955;223955;55;F. Becker;420;0;71822305;aus Plan gelesen;Brauchwasser;Brunnen;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Archiv AFU Glarus;F. Becker, Loh 1, Bilten;;;B31;;;;keine vorh.;1;nein;M. Simmler;25.03.1998;10;23.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
206;Stöcken;Allmeind;Bilten;8865;718805;224055;53;Wick/Fuellmann;420;20;71822402;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;aufstossend;gut;Betondeckel;Brunnenstube;Archiv AFU Glarus;Karl Wick, Schweinemästerei, Stöcken, Bilten;1997 neu gefasst;;B32;;;;keine vorh.;;nein;M. Simmler;25.03.1998;11;23.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
207;Flüssliquelle unten;im Flüssli;Bilten;8865;719235;223125;1;Gde. Bilten;580;0;71922301;aus Plan gelesen;Brauchwasser;Brunnen;Sicker-/Zuleitung;schlecht;Betondeckel;Brunnenstube/Sammelschacht;Archiv AFU Glarus;Herr Winteler, Bauamt Bilten;;;C11;;;;keine vorh.;2;nein;M. Simmler;25.03.1998;12;23.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
208;Unterbiltner Brunnenquelle oben;hinter Wegscheide;Bilten;8865;719450;223270;1;Gde. Bilten;510;0;71922302;aus Plan gelesen;Brauchwasser;Brunnen;Stollen;gut;Türe;Brunnenstube;Archiv AFU Glarus;Herr Winteler, Bauamt Bilten;;;B33;B34;;;keine vorh.;1;nein;M. Simmler;25.03.1998;13;23.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
209;Stallquelle F. Becker;Elmen;Bilten;8865;719640;223285;1;Gde. Bilten;480;5;71922303;aus Plan gelesen;Brauchwasser;Brunnen;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Archiv AFU Glarus;Herr Winteler, Bauamt Bilten;;;C1;C2;;;keine vorh.;1;nein;M. Simmler;25.03.1998;14;23.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
210;Hüttenwasser Sonnenberg;im guätä Täli;Bilten;8865;717870;222995;1;Tagwen Bilten;1130;0;71722201;aus Plan gelesen;Trinkwasser;Alpgebäude;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Archiv AFU Glarus;Herr Winteler, Bauamt Bilten;;;B6;B7;;;liegt in S3;1;nein;M. Simmler;25.03.1998;15;19.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
211;Hüttenwasser Sonnenberg;Sunnenberg;Bilten;8865;717930;223095;1;Tagwen Bilten;1130;10;71722302;aus Plan gelesen;Trinkwasser;Alpgebäude;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube;Archiv AFU Glarus;Herr Winteler, Bauamt Bilten;;;B10;B11;;;liegt in S3;2;nein;M. Simmler;25.03.1998;16;19.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
212;Gruenenhüttenquelle;Büelser Wald;Bilten;8865;717075;221780;1;Tagwen Bilten;1220;0;71722101;aus Plan gelesen;Trinkwasser;Alpgebäude;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Archiv AFU Glarus;Herr Winteler, Bauamt Bilten;;;B2;B3;;;keine vorh.;1;nein;M. Simmler;25.03.1998;17;19.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
213;Hüttenwasser Bühls;Büels;Bilten;8865;717410;221475;1;Tagwen Bilten;1370;0;71722102;aus Plan gelesen;Trinkwasser;Alpgebäude;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Archiv AFU Glarus;Herr Winteler, Bauamt Bilten;;;A25;A26;B1;;keine vorh.;1;nein;M. Simmler;25.03.1998;18;19.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
214;Quelle Unter-Niedern;Ober Niederen;Bilten;8865;718450;221640;1;Tagwen Bilten;1420;0;71822101;aus Plan gelesen;Trinkwasser;Alpgebäude;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube;Archiv AFU Glarus;Herr Winteler, Bauamt Bilten;fliesst via Brunnen/Reservoir zur Alp Unter-Niedern;;A11;A12;;;keine vorh.;1;nein;M. Simmler;25.03.1998;19;19.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
215;Quelle Jägerhütte;Unter Nideren;Bilten;8865;718105;222015;1;Tagwen Bilten;1200;0;71822201;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Archiv AFU Glarus;Herr Winteler, Bauamt Bilten;Versorgung Jägerhütte;;A7;A8;;;keine vorh.;2;nein;M. Simmler;25.03.1998;20;19.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
216;Quelle ober Niedern;Silberplangge;Bilten;8865;718650;221425;1;Tagwen Bilten;1550;0;71822102;aus Plan gelesen;Trinkwasser;Alpgebäude;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube;Archiv AFU Glarus;Herr Winteler, Bauamt Bilten;;;A15;;;;keine vorh.;1;nein;M. Simmler;25.03.1998;21;19.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
217;Quellen Ober Niedern;Hirzli;Bilten;8865;718830;221580;1;Tagwen Bilten;1520;0;71822103;aus Plan gelesen;Trinkwasser;Alpgebäude;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube/Sammelschacht;Archiv AFU Glarus;Herr Winteler, Bauamt Bilten;mehrere Quellaustritte gefasst und in Sammelschacht geleitet;;A16;A17;;;keine vorh.;2;nein;M. Simmler;25.03.1998;22;19.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
218;Stallquelle H. Becker;Elmen;Bilten;8865;719835;223205;1;Gde. Bilten;490;0;71922304;aus Plan gelesen;Brauchwasser;Brunnen;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Archiv AFU Glarus;Herr Winteler, Bauamt Bilten;;;C20;C21;;;keine vorh.;1;nein;M. Simmler;25.03.1998;23;23.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
221;Rüti/Stallquelle;Rüti;Bilten;8865;720715;222445;351;J. Stuessi;430;0;72022201;aus Plan gelesen;Brauchwasser;Stall;aufstossend;schlecht;Betondeckel;Brunnenstube;Archiv AFU Glarus;J. Stüssi-Joos, Mööslistr. 2, Bilten;;;C8;C9;;;keine vorh.;;nein;M. Simmler;25.03.1998;26;23.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
222;Stalden-Quelle oben;Rütiwald (??)--> Stalden?;Bilten;8865;721090;221900;568;Flurgenossenschaft;485.6499939;30;72122102;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier;Sicker-/Zuleitung;gut;Türe;Brunnenstube;Archiv AFU Glarus;Hans Müller, Schönhof, Bilten;;;C5;C6;;;erforderlich;1;ja;M. Simmler;25.03.1998;27;23.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
223;Oberbiltner Brunnenquelle obere;Rütiwald;Bilten;8865;720270;222325;;Gde. Bilten;560;;72022202;aus Plan gelesen;Brauchwasser;Brunnen;ab Fels;sanierungsbedürftig;keine vorh.;kein Schacht;Archiv AFU Glarus;Herr Winteler, Bauamt Bilten;Dorfbrunnen;;C18;C19;;;keine vorh.;;nein;M. Simmler;25.03.1998;28;23.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
224;Quelle Brunnen Siten;Sitenwald;Riedern;8750;722070;211970;;Gde. Riedern;550;10;72221101;aus Plan gelesen;Trinkwasser;Brunnen;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube;Archiv AFU Glarus;Ruedi Heer, Werkführer Riedern;Früher als Hausversorgung genutzt;;30;31;;;keine vorh.;2;nein;R. Brunner;25.03.1998;1;14.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
225;;Sitenwald;Riedern;8750;;;;;570;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv AFU Glarus;Ruedi Heer, Werkführer Riedern;Gde. unbekannt, wahrsch. identisch mit Nr. 1;;;;;;;;;;25.03.1998;2;;17.07.1998;FALSCH;FALSCH;FALSCH;FALSCH
226;Kohlgrüebli-Quelle;Sitenwald;Riedern;8750;721265;211795;148;Gde. Netstal;615;;72121101;aus Plan gelesen;Trinkwasser;WV Gemeinde Netstal;Stollen;gut;Türe;Brunnenstube;Archiv Lienert & Haering AG;Hanspeter Spälti, Werkführe Netstal;;;20;21;22;;provisorich;;ja;R. Brunner;25.03.1998;3;17.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
227;Faulenkopf-Quelle;Löntschbort;Glarus;8750;720364;211574;2088;Gde. Netstal;710;;72021101;im Feld eingemessen;Trinkwasser;WV Gemeinde Netstal;Stollen/Zuleitung;gut;;Sammelstube;Archiv Lienert & Haering AG;Kaspar Figi, Werkführer Glarus;Zuleitungen 3 + Stollen;;15;16;;;definitiv;3;ja;R. Brunner;25.03.1998;1;17.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
228;Löntschbord-Quelle;Löntschbort;Glarus;8750;720470;211600;;WV Glarus;750;;72021102;im Feld eingemessen;Trinkwasser;WV Gemeinde;Stollen;SVGW-Konform;Türe;Brunnenstube;Archiv AFU Glarus;Kaspar Figi, Werkführer Glarus;;;5;8;9;;definitiv;;ja;R. Brunner;25.03.1998;2;15.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
229;Löntschbord-Quelle;Löntschbort;Glarus;8750;;;;WV Glarus;750;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv AFU Glarus;;nicht aufgenommen;;;;;;;;;;25.03.1998;3;;15.07.1998;FALSCH;FALSCH;FALSCH;FALSCH
230;Brunnenstübli-Quelle (Auf Sack);Wuest;Glarus;8750;721880;210700;2067;WV Glarus;645;50;72121001;im Feld eingemessen;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Pilzdeckel;Brunnenstube;Archiv Lienert & Haering AG;Kaspar Figi, Werkführer Glarus;;;33;;;;definitiv, S3 fehlt!;2;ja;R. Brunner;25.03.1998;4;15.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
231;Quellen im Leimen;Leimen;Glarus;8750;724270;210060;;Bruck- & Büelbrunnenkorporation;500;20;72421001;aus Plan gelesen;Brauchwasser;Fischzucht;Sicker-/Zuleitung;gut;Pilzdeckel;Brunnenstube;Archiv AFU Glarus;Kaspar Figi, Werkführer Glarus;;;;;;;keine vorh.;1;ja;R. Brunner;25.03.1998;5;15.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
232;Löntschbort-Quelle;Löntschbort;Glarus;8750;720050;211020;;WV Glarus;880;0;72021103;aus Plan gelesen;Trinkwasser;Nur Brunnen Sackberg;ab Fels;gut;Eisendeckel;Brunnenstube;Archiv AFU Glarus;Kaspar Figi, Werkführer Glarus;8 Brunnen;;34+35;1;7;;keine vorh.;1;nein;R. Brunner;25.03.1998;23;15.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
233;Gleiter Quellen;Stäfeli;Glarus;8750;720375;209380;;WV Glarus;1130;0;72020901;aus Plan gelesen;Trinkwasser;Restaurant;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube/Reservoir;Archiv AFU Glarus;J. Stüssi, Förster Glarus;Rest. Schwammhöchi, Ferienheim Glarus, div. Brunnen;;2;3;;;erforderlich;1;nein;R. Brunner;25.03.1998;7;15.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
234;Weiden-Quelle;Näggeler;Glarus;8750;719325;210325;;Gde. Netstal + NOK (WK Rhodannenberg);920;;71921001;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier/Rest.;Stollen;gut;Türe;Brunnenstube;Archiv AFU Glarus;Kaspar Figi, Werkführer Glarus;Quelle versiegt zeitweise;;14;15;;;erforderlich;;ja;R. Brunner;25.03.1998;8;15.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
235;;Rhodannenberg;Glarus;8750;719250;210720;;NOK, Baden;840;;;aus Plan gelesen;;;;;;;Archiv AFU Glarus;;keine Fassung, sondern Reservoir --> nicht aufgenommen;;;;;;;;;;25.03.1998;9;;15.07.1998;FALSCH;FALSCH;FALSCH;FALSCH
236;Neuer Korporationsstollen;Rhodannenberg;Glarus;8750;719265;210585;2000;NOK, Baden;850;;71921002;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier/Rest.;Stollen;;;;Archiv AFU Glarus;Kaspar Figi, Werkführer Glarus;versorgt Gebiet Näggeler;;24;25;26+27;;erforderlich;;;R. Brunner;25.03.1998;10;16.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
237;Quelle Ober Herberig;Ober Herberig;Glarus;8750;718115;210900;2097;Gde. Netstal;1190;0;71821001;aus Plan gelesen;Trinkwasser;Alpgebäude;Sicker-/Zuleitung;gut;Blech-Deckel;Brunnenstube;Archiv AFU Glarus;Kaspar Figi, Werkführer Glarus;Alp Ober und Unter Herberig;;33;34;;;keine vorh.;2;nein;R. Brunner;25.03.1998;11;16.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
238;Quelle Ober Längenegg 1;Ober Längenegg;Glarus;8750;714950;211360;;Gde. Ennenda;1735;0;71421101;aus Plan gelesen;Trinkwasser;Alpgebäude;Sicker-/Zuleitung;gut;Eisendeckel mit 4 Kant;Brunnenstube;Archiv AFU Glarus;P. Jäger, WV Ennenda;"Alpen Chängel, Ratlis, Ralli, Schwändeli,
Ring nicht eingegossen";;18;19;;;keine vorh.;1;nein;R. Brunner;25.03.1998;12;25.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
239;GWF Vorauen;Zeltplatz Vorauen;Glarus;8750;714500;209300;;"NOK, Baden; Koorp. ???";850;;;aus Plan gelesen;Trinkwasser;Ferienhäuser, Zeltplatz, Rest.;;;;;Archiv AFU Glarus;"Zeltclub, Präs. Leuzinger; Gem. Netstal HP. Spälti";Grundwasserfassung --> nicht aufgenommen, keine;;;;;;keine vorh.;;;;25.03.1998;13;;15.07.1998;FALSCH;FALSCH;FALSCH;FALSCH
240;Blaue Brunnen;Steppelwald;Glarus;8750;;;;NOK, Baden;990;;;aus Plan gelesen;im Moment ungenutzt;;nicht gefasst;;;;Archiv AFU Glarus;;nicht aufgenommen, läuft in See;;;;;;;;;;25.03.1998;14;;15.07.1998;FALSCH;FALSCH;FALSCH;FALSCH
241;Rossbrunnen;Steppelwald;Glarus;8750;;;;;930;;;aus Plan gelesen;im Moment ungenutzt;;nicht gefasst;;;;Archiv AFU Glarus;;nicht aufgenommen;;;;;;;;;;25.03.1998;15;;15.07.1998;FALSCH;FALSCH;FALSCH;FALSCH
242;Fischbach/Hinteres Klöntal;Schwändeli;Glarus;8750;712790;209560;2033;Gde. Netstal/Korp. Klöntal;1070;;71220901;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier;Stollen;schlecht;Türe;Brunnenstube;Archiv Lienert & Haering AG;Hanspeter Spälti, Werkführer Netstal;Katadyn-Anlage;;17;;;;erforderlich;;ja;R. Brunner;25.03.1998;16;17.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
243;Bodenberg;Bodenberg;Glarus;8750;712660;209110;;Fam Hefti;895;0;71220902;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;ab Fels;sanierungsbedürftig;Holz;Brunnenstube;Archiv AFU Glarus;Kaspar Figi, Werkführer Glarus;und Ferienhäuser;;14;15;;;erforderlich;1;nein;R. Brunner;25.03.1998;17;25.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
244;Richisauer Schwammhöchi-Quelle;Schwammhöchi;Glarus;8750;;;;Stiftung Kamm;1130;;;aus Plan gelesen;Brauchwasser;Vieh-Tränke;;;;;Archiv AFU Glarus;;nur Weidbrunnen ---> nicht augenommen;;;;;;;;;;25.03.1998;18;;25.08.1998;FALSCH;FALSCH;FALSCH;FALSCH
245;Quelle Richisau;;Glarus;8750;711270;209110;;Stiftung Kamm;1205;;71120901;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier;ab Fels;gut;Türe;Brunnenstube;Archiv AFU Glarus;Kaspar Figi, Werkführer Glarus;versorgt alle Häuser in Richisau, inkl Restaurant;;20;21;;;erforderlich;;ja;R. Brunner;25.03.1998;19;25.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
246;Silbern-Quelle;;Glarus;8750;;;;Gde. Netstal;1300;;;aus Plan gelesen;im Moment ungenutzt;;nicht gefasst;;;;Archiv AFU Glarus;;nicht aufgenommen, Bach;;;;;;;;;;25.03.1998;20;;16.07.1998;FALSCH;FALSCH;FALSCH;FALSCH
247;Käsern-Quelle 1;Chäseren;Glarus;8750;714290;206145;;H. Jud, Rest. Käsern;1320;0;71420601;aus Plan gelesen;Trinkwasser;Restaurant und Gebäude;ab Fels;sanierungsbedürftig;Holz;Brunnenstube;Archiv AFU Glarus;H. Jud, Käsern Glarus;"und Gebäude, Filter im Restaurant 
Baum auf Brunnenstube gefallen";;16;17;;;erforderlich;;nein;R. Brunner;25.03.1998;21;25.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
248;Vordere Schnyderberg-Quelle;Hämmerliberg;Bilten;8865;718265;223450;1;Gde. Bilten;870;;71822306;im Feld eingemessen;Trinkwasser;WV Gemeinde;Stollen;gut;Tür;Brunnenstube;Archiv Lienert & Haering AG;Herr Winteler, Bauamt Bilten;;;B19;;;;definitiv;;Ja;M. Simmler;26.03.1998;29;23.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
249;Untere Schnyderberg-Quelle;Hämmerliberg;Bilten;8865;718330;223490;;Gde. Bilten;850;;71822307;im Feld eingemessen;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Tür;Brunnenstube;Archiv Lienert & Haering AG;Herr Winteler, Bauamt Bilten;;;B17;B18;;;definitiv;1;Ja;M. Simmler;26.03.1998;30;23.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
250;Milchgaden-Quelle;Hämmerliberg;Bilten;8865;718540;223420;1;Gde. Bilten;820;;71822308;im Feld eingemessen;Trinkwasser;WV Gemeinde Bilten;Stollen;gut;Tür;Brunnenstube;Archiv Lienert & Haering AG;Herr Winteler, Bauamt Bilten;Not-Notversorgung Gemeinde Bilten!;;B13;B14;;;definitiv;;Ja;M. Simmler;26.03.1998;31;23.06.1998;;WAHR;FALSCH;FALSCH;FALSCH
251;Quelle Mittlere Lochegg 1;;Oberurnen;8868;719700;219666;3;Gde. Oberurnen;1439;0;71921902;Geometeraufnahme;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube/Sammelschacht;Archiv Lienert & Haering AG;F. Stocco, EW Oberurnen;;;9;10;;;definitiv;2;nein;R. Brunner;26.03.1998;17;13.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
252;Quelle Mittlere Lochegg 2;;Oberurnen;8868;719767;219644;3;Gde. Oberurnen;1409;0;71921903;Geometeraufnahme;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube/Sammelschacht;Archiv Lienert & Haering AG;F. Stocco, EW Oberurnen;;;11;12;;;definitiv;1;nein;R. Brunner;26.03.1998;18;13.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
253;Quelle Mattegg;Mattegg;Oberurnen;8868;719901;219733;3;Gde. Oberurnen;1379;0;71921905;Geometeraufnahme;Trinkwasser;Einzelfassung Campingplatz;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube/Sammelschacht;Archiv Lienert & Haering AG;F. Stocco, EW Oberurnen;;;15;16;;;definitiv;1;nein;R. Brunner;26.03.1998;30;13.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
254;Quelle Rietboden 2;Rietboden;Oberurnen;8868;719982;219798;3;Gde. Oberurnen;1320;0;71921906;Geometeraufnahme;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube/Sammelschacht;Archiv Lienert & Haering AG;F. Stocco, EW Oberurnen;;;17;18;;;definitiv;2;nein;R. Brunner;26.03.1998;19;13.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
255;Quelle Längenböden 1;Längenböden;Oberurnen;8868;719868;219864;3;Gde. Oberurnen;1358;0;71921909;Geometeraufnahme;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube;Archiv Lienert & Haering AG;F. Stocco, EW Oberurnen;;;21;22;;;definitiv;2;nein;R. Brunner;26.03.1998;20;13.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
256;Quelle Längenböden 2;Längenböden;Oberurnen;8868;719877;219843;3;Gde. Oberurnen;1357;0;71921908;Geometeraufnahme;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube;Archiv Lienert & Haering AG;F. Stocco, EW Oberurnen;;;19;20;;;definitiv;1;nein;R. Brunner;26.03.1998;21;13.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
257;Quelle Kohlplatz 2;Untere Lochegg;Oberurnen;8868;720340;219838;3;Gde. Oberurnen;1204;;72021903;Geometeraufnahme;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Türe;Brunnenstube/Sammelschacht;Archiv Lienert & Haering AG;F. Stocco, EW Oberurnen;;;29;30;;;definitiv;3;ja;R. Brunner;26.03.1998;22;13.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
258;Quelle Schwamm 1;Untere Lochegg;Oberurnen;8868;720348;219805;3;Gde. Oberurnen;1209;0;72021904;Geometeraufnahme;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube;Archiv Lienert & Haering AG;F. Stocco, EW Oberurnen;Nicht mehr in Betrieb;;31;32;;;definitiv;1;nein;R. Brunner;26.03.1998;23;13.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
259;Quelle Lochbach 2;;Oberurnen;8868;720945;219832;4;Gde. Oberurnen;1073;10;72021907;Geometeraufnahme;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube/Sammelschacht;Archiv Lienert & Haering AG;F. Stocco, EW Oberurnen;Nicht mehr in Betrieb;;10;11;;;definitiv;1;nein;R. Brunner;26.03.1998;24;13.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
260;Quelle Lochbach 3;;Oberurnen;8868;721132;219773;4;Gde. Oberurnen;1013;0;72121905;Geometeraufnahme;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube/Sammelschacht;Archiv Lienert & Haering AG;F. Stocco, EW Oberurnen;Nicht mehr in Betrieb;;9;;;;definitiv;1;nein;R. Brunner;26.03.1998;25;13.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
261;Quelle Lochbach 4;Ob. Tschingel;Oberurnen;8868;721162;219772;4;Gde. Oberurnen;1003;0;72121906;Geometeraufnahme;Notwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube/Sammelschacht;Archiv Lienert & Haering AG;F. Stocco, EW Oberurnen;Nicht mehr in Betrieb;;14;;;;definitiv;1;nein;R. Brunner;26.03.1998;26;13.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
262;Quelle Lochbach 5;Ob. Tschingel;Oberurnen;8868;721151;219756;4;Gde. Oberurnen;1018;0;72121907;Geometeraufnahme;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Archiv Lienert & Haering AG;F. Stocco, EW Oberurnen;Nicht mehr in Betrieb;;7;8;;;definitiv;1;nein;R. Brunner;26.03.1998;27;13.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
263;Quelle Plänggli 2;Bergli;Oberurnen;8868;721168;219734;4;Gde. Oberurnen;1024;;72121902;Geometeraufnahme;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Türe;Brunnenstube/Sammelschacht;Archiv Lienert & Haering AG;F. Stocco, EW Oberurnen;;;1;2;;;definitiv;3;ja;R. Brunner;26.03.1998;28;13.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
264;Quelle Stellhütte;Oberer Tschingel;Oberurnen;8868;721182;219705;4;Gde. Oberurnen;1023;0;72121904;Geometeraufnahme;Trinkwasser;WV Gemeinde (abgehängt);Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube;Archiv Lienert & Haering AG;F. Stocco, EW Oberurnen;Gem. Angaben Lebensmittelinspektorat nicht mehr für WV Gemeinde! Abgesprochen!;;5;6;;;definitiv;1;nein;R. Brunner;26.03.1998;29;13.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
265;Obere Fachtwald-Quelle;Fachtwald;Mollis;8753;725254;216730;;Gde. Mollis;722;0;72521605;Geometeraufnahme;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Eisendeckel 4 kant. Schrauben;Brunnenstube;Archiv Lienert & Haering AG;Ernst Bühler, Werkführer Mollis;;;;;;;definitiv;1;;Brunner;26.03.1998;29;28.06.1999;;WAHR;FALSCH;FALSCH;FALSCH
